type,caps_text,text_len,excl_text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,6,890,0,2,2,0,1,2,1,1,4,2,6
1,0,1150,0,2,2,1,1,4,3,2,4,3,9
1,1,2601,0,1,7,0,2,6,3,3,12,5,15
1,12,2560,0,1,5,1,2,3,6,1,10,6,14
1,1,1582,0,0,10,1,1,5,0,3,8,2,18
1,0,2326,0,3,8,2,8,2,1,2,16,11,19
1,8,2252,0,1,9,1,3,4,2,1,12,12,19
1,0,1081,0,4,7,1,1,8,3,6,10,3,14
1,6,3109,0,2,9,0,3,4,4,1,11,10,21
1,2,1552,0,10,7,4,15,3,7,2,9,14,13
1,1,1253,0,0,8,2,1,6,3,3,7,4,13
1,0,1471,0,0,5,1,0,2,1,4,7,1,10
1,12,2412,0,3,13,2,4,3,4,2,12,9,21
1,0,1146,0,1,6,0,2,2,2,2,7,3,13
1,4,2860,0,2,10,2,8,6,7,3,22,14,30
1,5,1570,0,0,3,0,2,4,4,2,5,7,17
1,2,1414,0,2,3,1,1,3,1,4,12,0,12
1,2,2008,0,1,14,3,5,8,3,7,14,8,20
1,0,1187,0,2,2,2,4,1,3,0,4,6,8
1,1,2130,0,1,7,2,3,8,3,5,8,9,23
1,3,2990,0,13,7,6,12,2,6,4,12,20,14
1,5,1669,0,1,5,0,0,2,4,1,5,4,10
1,0,1808,0,5,4,1,4,8,4,4,9,7,10
1,4,3117,0,2,4,2,2,2,1,1,13,5,20
1,4,1922,0,0,4,0,3,0,2,3,11,8,10
1,2,1972,0,1,10,2,2,7,1,5,9,3,15
1,6,3198,1,9,10,3,8,7,8,5,16,18,23
1,2,1494,0,0,5,1,2,2,1,2,7,3,11
1,4,1940,0,6,8,6,8,4,4,2,9,17,17
1,1,1177,0,2,7,0,1,2,1,3,5,4,7
1,3,1449,0,8,4,2,8,2,4,0,2,18,5
1,2,1247,0,2,6,1,2,3,2,3,7,5,10
1,2,1647,0,2,5,0,4,1,0,0,5,5,12
1,0,1144,0,0,3,0,3,2,3,2,3,5,6
1,2,2107,0,3,8,3,5,8,3,4,10,6,18
1,4,2519,0,8,10,4,7,6,7,7,14,12,18
1,1,1847,0,8,5,3,9,1,6,5,5,13,10
1,0,2869,0,3,12,2,7,10,5,5,11,13,28
1,5,3270,0,7,6,5,12,8,8,1,11,18,23
1,2,1830,0,2,8,0,3,3,3,4,11,4,13
1,2,1422,0,2,7,1,2,6,1,5,7,3,14
1,1,2770,0,8,10,4,12,1,6,1,8,21,16
1,2,2981,0,3,11,3,4,4,1,3,16,7,18
1,0,1653,0,4,6,2,2,6,0,2,10,5,16
1,1,1015,0,1,2,1,2,0,1,0,5,4,6
1,13,3808,0,7,7,1,7,2,4,3,12,13,19
1,2,3782,1,5,6,4,12,5,11,5,11,16,24
1,0,1505,0,2,3,0,2,3,2,1,6,3,10
1,0,1393,0,1,3,1,5,0,1,2,8,12,9
1,7,1574,0,1,3,2,0,2,0,2,5,2,7
1,0,996,0,2,7,2,2,3,3,3,9,5,9
1,0,1299,0,3,2,3,5,2,8,1,8,10,8
1,0,1454,0,1,3,0,1,2,3,3,1,3,7
1,1,1615,0,3,6,3,3,4,4,2,5,9,11
1,4,1002,0,5,4,1,2,2,1,2,4,6,8
1,0,935,0,2,3,3,2,4,2,1,8,5,9
1,0,3708,0,8,5,6,8,4,10,3,11,27,17
1,1,1733,0,2,5,0,1,3,0,1,9,5,18
1,1,1564,0,2,6,1,3,4,1,3,6,9,14
1,5,3315,0,3,11,2,6,5,5,4,19,8,26
1,1,3854,0,6,14,2,4,7,6,5,15,15,23
1,2,2660,0,7,14,5,8,12,9,8,15,13,30
1,6,2859,0,4,8,1,6,3,6,3,14,15,18
1,3,2046,0,1,7,2,3,4,4,1,6,4,13
1,9,3387,0,3,12,4,8,8,3,3,16,8,22
1,3,2523,0,4,10,3,5,5,6,2,11,10,18
1,0,1933,0,6,5,4,5,3,6,1,8,14,14
1,0,1787,0,3,6,1,6,6,9,1,5,7,19
1,3,2083,0,4,8,7,8,6,5,4,13,13,22
1,2,1267,0,0,3,1,2,1,0,1,9,2,10
1,3,2132,0,9,8,6,8,13,5,10,15,14,21
1,3,1499,0,0,3,1,2,0,0,2,6,4,10
1,10,1954,0,4,3,1,1,0,2,1,9,9,9
1,3,1745,0,4,7,2,3,2,2,2,8,6,9
1,3,1482,0,0,2,0,2,2,0,0,6,1,9
1,8,2704,0,11,10,3,12,6,13,0,13,20,16
1,5,2266,0,0,7,0,1,7,1,2,11,1,17
1,0,1462,0,1,4,1,2,1,1,1,5,4,13
1,15,1829,0,3,2,1,7,0,6,3,3,11,3
1,2,1689,0,4,10,2,2,4,4,4,9,7,18
1,3,4022,0,8,7,2,13,5,6,4,23,22,23
1,5,1620,0,0,1,0,0,2,1,0,3,3,6
1,1,1577,0,2,8,1,3,6,4,5,10,4,20
1,1,1420,0,2,6,1,8,2,5,1,8,7,9
1,7,1249,0,1,4,1,2,0,0,1,5,3,9
1,0,1738,0,4,4,3,7,2,5,4,9,9,12
1,5,2542,0,5,3,2,5,4,3,1,11,6,17
1,1,2492,0,5,5,1,4,2,0,0,9,9,16
1,5,1353,0,1,6,1,1,9,1,5,8,3,12
1,0,2285,0,6,9,1,10,3,6,2,10,15,11
1,12,2487,0,6,8,2,7,3,6,4,9,14,18
1,3,1526,0,5,4,4,6,3,5,4,4,10,5
1,0,2842,0,10,8,7,9,3,5,4,11,13,15
1,2,1888,0,1,9,0,3,4,2,3,10,6,16
1,2,3094,0,5,13,3,5,8,5,3,9,14,18
1,0,2106,0,5,6,1,8,1,2,0,12,8,8
1,13,1733,0,3,4,1,3,2,1,1,7,5,12
1,5,1847,0,4,8,1,4,8,9,2,6,12,19
1,10,2781,0,8,13,4,9,5,6,2,12,11,18
1,0,1348,0,4,6,1,5,5,4,3,8,7,14
1,3,1923,0,1,3,2,1,7,0,3,5,2,16
1,2,2647,0,4,4,3,11,2,3,3,11,15,22
1,12,1780,0,2,4,1,4,4,2,3,9,4,14
1,2,1603,0,1,10,0,0,6,1,3,12,1,22
1,6,1413,0,1,4,0,7,2,4,1,7,5,11
1,13,1217,0,0,4,1,1,2,1,4,6,1,7
1,1,1353,0,0,7,2,1,10,1,3,6,4,16
1,1,2358,0,12,5,4,12,4,9,3,14,20,15
1,19,2130,0,2,5,1,2,2,4,3,15,6,13
1,1,1556,0,4,4,2,4,0,2,0,3,8,5
1,0,1290,0,3,2,1,2,2,1,1,17,4,19
1,2,2462,0,10,7,7,11,6,8,2,13,15,17
1,4,1980,0,0,6,0,2,6,0,3,8,3,16
1,0,1931,0,1,5,0,0,3,1,0,4,2,13
1,3,930,0,2,5,1,3,2,3,0,2,3,5
1,0,2149,0,2,6,1,6,6,2,3,13,5,16
1,1,3150,0,4,7,2,6,5,5,4,13,13,19
1,3,1252,0,0,2,0,1,3,0,1,6,2,9
1,0,1665,0,2,9,1,2,9,4,6,10,5,23
1,2,3420,0,12,9,9,19,6,15,9,16,27,20
1,3,1355,0,0,5,0,0,2,2,0,4,3,11
1,1,1296,0,5,6,3,3,9,1,3,12,5,19
1,0,3850,0,7,8,5,10,2,8,1,16,23,26
1,6,2016,0,1,8,3,8,4,3,5,13,9,18
1,0,1221,0,3,6,0,3,7,4,4,8,2,17
1,1,3199,0,6,16,2,11,7,3,3,20,16,29
1,6,1399,0,2,9,2,4,3,3,0,4,4,9
1,2,2075,0,2,8,0,4,11,3,3,20,2,28
1,3,1431,0,2,4,0,3,2,3,2,9,4,13
1,0,1202,0,1,4,0,2,4,1,0,5,6,10
1,2,1704,0,3,4,3,10,6,5,1,11,6,19
1,2,1338,0,2,3,0,1,2,4,1,7,8,10
1,3,2489,0,2,2,3,5,1,8,0,10,13,11
1,0,1421,0,0,5,0,1,5,1,2,7,2,11
1,3,1645,0,4,6,1,5,2,2,1,10,6,11
1,8,1802,0,2,7,3,4,4,2,2,4,9,10
1,1,1275,0,4,5,3,4,5,4,3,2,8,12
1,2,2565,0,5,6,2,5,1,2,1,17,11,20
1,3,1828,0,1,6,1,3,2,4,1,10,9,8
1,0,1415,0,3,4,1,4,4,3,3,7,6,15
1,1,2981,0,3,9,0,5,2,4,1,7,12,17
1,0,1566,0,1,5,0,0,2,3,2,5,5,7
1,14,2121,0,3,7,2,6,4,3,2,9,6,20
1,0,3269,0,6,11,6,15,5,9,4,13,19,18
1,0,1668,0,2,6,0,3,2,4,1,7,9,8
1,1,1601,0,2,7,0,3,5,3,3,7,5,8
1,10,2765,0,9,15,3,12,6,4,5,14,17,20
1,17,3551,0,3,17,3,5,7,2,5,15,7,29
1,1,1605,0,4,8,2,8,5,6,4,10,11,16
1,0,4130,0,10,13,5,8,9,13,2,19,24,21
1,1,1918,0,4,5,3,5,4,4,2,7,10,19
1,4,1965,0,1,5,0,2,7,2,3,8,4,17
1,0,2396,0,8,6,4,10,4,7,1,12,11,20
1,2,1783,0,2,4,1,5,2,3,0,9,5,12
1,2,1253,0,2,7,1,4,4,2,2,4,5,9
1,4,2613,0,10,6,4,16,4,8,4,15,21,20
1,1,2991,0,4,11,2,7,5,4,3,17,10,23
1,2,1563,0,6,3,3,5,2,7,2,5,8,7
1,6,3256,0,4,5,1,5,7,5,2,21,12,25
1,0,1382,0,1,8,0,1,4,1,1,5,5,13
1,0,1678,0,5,3,1,6,2,5,1,5,8,10
1,1,1457,0,3,5,0,3,2,3,1,8,5,8
1,0,1438,0,1,4,0,0,1,0,0,7,1,10
1,3,1694,0,3,9,0,4,10,1,3,15,5,22
1,2,3174,0,9,7,4,15,4,12,2,13,21,22
1,1,2052,0,2,6,3,5,6,6,2,13,10,15
1,0,1882,0,2,11,4,5,8,5,6,9,9,15
